Ht_cm,Wt_kg,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,y
187.5,96.75,4.61,31.5,,106.0,7.03,4.3,8.0,19.0,30.0,63.3,169.0,5.6,4.8,1.0,1.0,115.0,0
185.0,93.15,5.08,27.0,,104.0,7.29,4.6,39.0,534.0,934.0,57.2,7227.0,7.7,7.7,47.0,22.0,134.1,0
185.0,96.3,4.7,33.5,,116.0,7.53,4.53,43.0,575.0,1042.0,55.2,8390.0,8.1,7.5,63.0,40.0,135.1,0
180.0,98.1,4.79,33.0,,,7.28,4.31,51.0,1094.0,1609.0,68.0,12515.0,7.8,7.9,101.0,41.0,148.9,0
177.5,98.1,4.57,30.5,,115.0,,,37.0,275.0,430.0,64.0,3731.0,8.7,9.0,30.0,10.0,155.2,0
190.0,103.05,5.0,29.0,,103.0,7.41,4.52,47.0,880.0,1556.0,56.6,11453.0,7.4,7.0,78.0,48.0,128.8,0
182.5,98.55,4.54,35.5,,125.0,7.04,4.14,35.0,473.0,852.0,55.5,5856.0,6.9,6.5,44.0,26.0,124.2,0
187.5,100.8,4.5,34.5,,114.0,7.24,4.39,38.0,268.0,421.0,63.7,2983.0,7.1,6.5,16.0,13.0,129.5,0
180.0,96.3,5.05,30.0,,101.0,7.04,4.29,50.0,903.0,1349.0,66.9,9762.0,7.2,6.9,60.0,37.0,136.9,0
177.5,93.15,4.92,31.0,,106.0,7.3,4.45,38.0,609.0,1004.0,60.7,8065.0,8.0,7.9,53.0,27.0,140.2,0
192.5,104.4,5.1,29.0,,110.0,7.36,4.49,49.0,842.0,1405.0,59.9,10136.0,7.2,6.8,84.0,49.0,133.3,0
187.5,108.0,4.65,30.0,15.0,111.0,7.25,4.3,,,,,,,,,,,0
190.0,92.7,5.03,28.5,,107.0,7.46,4.42,40.0,416.0,766.0,54.3,5463.0,7.1,6.5,46.0,31.0,125.9,0
192.5,101.7,4.64,29.5,,115.0,,,44.0,511.0,942.0,54.2,6207.0,6.6,6.3,55.0,30.0,122.5,0
